Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:17,0.466338856,-0.656757073,0.587621371,-0.07680717,0.000589017,0.000555955,-0.049483262,-6925.27832,427.0003,-262.445129,-0.502137661,-7.45562267,1.28277707
2022-08-03 5:18,0.474912321,-0.650508529,0.588657343,-0.069133733,2.43E-05,5.49E-06,-0.052633494,-6936.62354,203.142227,-223.8272,-0.254166335,-7.466894,1.29150045
2022-08-03 5:18,0.483968658,-0.643705373,0.589666269,-0.060921436,0.000624406,0.000591462,-0.056210786,-6940.525,-20.9336853,-184.968567,-0.005902266,-7.470153,1.29883385
2022-08-03 5:19,0.486191599,-0.642012601,0.589888705,-0.058897065,-0.00074367,-0.000102199,0.026873026,-6936.97754,-244.98703,-145.910889,0.2423879,-7.46539354,1.30476975
2022-08-03 5:19,0.481467441,-0.645607135,0.589393901,-0.063208852,-0.000732088,-0.000167897,0.026495928,-6925.984,-468.777374,-106.6962,0.490437537,-7.45262,1.30930173
2022-08-03 5:20,0.476943706,-0.648988052,0.588904763,-0.067308164,0.00029289,0.000398094,0.025945384,-6907.556,-692.064453,-67.36664,0.737980247,-7.43184566,1.31242454
2022-08-03 5:20,0.472679409,-0.652149647,0.588397578,-0.071156892,-0.00060202,-9.31E-05,0.023334049,-6881.713,-914.6086,-27.9645824,0.9847502,-7.403091,1.31413484
2022-08-03 5:21,0.468601829,-0.655116923,0.587908757,-0.07481601,0.000206187,7.35E-05,0.02423049,-6848.481,-1136.17065,11.4675779,1.2304821,-7.36638546,1.31443048
2022-08-03 5:21,0.464763277,-0.65788753,0.587416372,-0.078237454,-0.000687321,-2.90E-05,0.021010311,-6807.89648,-1356.513,50.8873634,1.47491181,-7.32176733,1.31331086
2022-08-03 5:22,0.4610805,-0.660506755,0.586933555,-0.081514416,-0.000288376,-0.000534011,0.021835802,-6760.002,-1575.39832,90.25233,1.717776,-7.26928329,1.310777
2022-08-03 5:22,0.457597054,-0.662958407,0.586460095,-0.084591035,-0.000623144,-0.000411049,0.019742927,-6704.848,-1792.59192,129.5201,1.95881355,-7.208989,1.30683136
2022-08-03 5:23,0.454274868,-0.665261326,0.586006875,-0.087508014,3.83E-05,0.000423754,0.017647767,-6642.49365,-2007.86047,168.648315,2.19776535,-7.1409483,1.301478
2022-08-03 5:23,0.451103239,-0.667452615,0.585542132,-0.090295549,-0.000509103,-0.000350443,0.01791279,-6573.00537,-2220.97241,207.59491,2.434374,-7.065233,1.29472256
2022-08-03 5:24,0.44808209,-0.66950382,0.58510797,-0.092928678,0.000130883,0.000191102,0.01588911,-6496.457,-2431.69873,246.317947,2.66838479,-6.98192358,1.28657222
2022-08-03 5:24,0.445184075,-0.671466924,0.584663295,-0.095457536,-0.000401933,-0.000419261,0.017150294,-6412.93066,-2639.813,284.775635,2.899546,-6.891108,1.27703547
2022-08-03 5:25,0.442439746,-0.673304327,0.584240524,-0.097833345,-0.000621302,-3.90E-05,0.014491961,-6322.515,-2845.09131,322.926544,3.127608,-6.7928834,1.26612258
2022-08-03 5:25,0.439783208,-0.675057127,0.583834212,-0.100131,0.000337472,0.000166861,0.015576975,-6225.30762,-3047.313,360.729553,3.35232568,-6.68735456,1.25384486
2022-08-03 5:26,0.437276307,-0.676713408,0.58342536,-0.102289998,-0.000630951,-0.000222835,0.012989949,-6121.411,-3246.26074,398.143921,3.57345653,-6.5746336,1.24021554
2022-08-03 5:26,0.434855628,-0.678286119,0.583039757,-0.104370321,0.000217069,0.000150643,0.012456058,-6010.938,-3441.72046,435.129333,3.79076242,-6.45484066,1.22524917
2022-08-03 5:27,0.432524329,-0.679794912,0.582655249,-0.106369368,0.000293069,0.000102413,0.013683536,-5894.006,-3633.482,471.645874,4.004009,-6.3281045,1.20896161
2022-08-03 5:27,0.430318536,-0.681218694,0.582278885,-0.108251318,-0.000405693,8.26E-05,0.011295559,-5770.74072,-3821.33862,507.654236,4.21296549,-6.19456,1.19137037
2022-08-03 5:28,0.428170884,-0.682582966,0.581920466,-0.110085236,0.000331814,7.66E-05,0.012755797,-5641.27344,-4005.08887,543.11554,4.417407,-6.05435038,1.17249429
2022-08-03 5:28,0.426137821,-0.683871815,0.581570382,-0.11181139,0.000328445,0.000100441,0.010431895,-5505.74365,-4184.53467,577.9916,4.61711359,-5.907626,1.15235341
2022-08-03 5:29,0.424162814,-0.685121833,0.581217916,-0.113488833,-0.000386662,-0.000179219,0.011557606,-5364.29639,-4359.483,612.2446,4.811869,-5.7545433,1.13096941
2022-08-03 5:29,0.422284546,-0.686291553,0.580893216,-0.115077096,0.000285264,0.000201691,0.00945685,-5217.0835,-4529.745,645.8378,5.001463,-5.5952673,1.10836542
2022-08-03 5:30,0.42045779,-0.687432872,0.580560626,-0.116621827,-0.000400924,-0.000120056,0.010620507,-5064.2627,-4695.13867,678.7349,5.18569136,-5.429968,1.08456552
